hw(rs1),HW
5,6927
18,6927
8,8327
16,6927
5,6927
4,6927
14,6927
17,6927
18,6927
11,6927
13,6927
4,6927
14,6927
3,6927
14,8617
17,8754
16,6927
4,6927
16,6927
2,6927
16,6927
14,6927
6,7204
12,6927
4,6927
14,7165
14,6927
13,6927
14,8415
6,6927
7,6927
16,6927
15,6927
5,6927
16,6927
15,6927
5,6927
7,6927
16,6927
17,6927
2,6927
15,6927
