hw(rs1),HW
19,150
26,224
22,169
14,138
24,203
26,232
12,138
6,137
0,16
18,185
23,166
24,211
7,134
2,74
1,37
19,213
9,167
24,203
12,176
15,113
25,188
23,220
23,185
18,200
9,145
10,179
1,48
1,59
13,122
13,192
9,181
21,201
10,158
23,197
22,152
2,94
16,201
0,20
20,142
21,109
12,145
24,223
25,203
6,174
12,171
0,14
11,143
16,192
1,48
22,186
17,207
17,195
6,171
30,268
11,167
3,112
18,179
17,166
25,209
5,101
4,132
17,207
14,205
6,127
20,171
24,171
25,224
22,191
22,224
4,98
20,219
22,222
20,172
27,246
25,168
7,151
22,218
5,131
17,197
19,164
25,205
20,166
19,187
7,129
22,193
10,162
23,167
20,115
19,116
23,193
2,59
23,118
9,157
14,100
16,170
19,184
10,153
4,143
22,217
20,151
26,217
23,215
17,205
13,187
22,161
7,145
10,173
13,192
19,201
20,195
0,12
19,147
11,181
1,47
23,155
9,181
26,192
24,219
22,188
10,84
25,180
4,133
7,85
20,210
17,165
8,161
13,179
8,162
12,192
11,128
5,124
12,179
1,48
21,208
22,174
6,150
21,199
5,124
10,166
7,185
14,191
5,132
11,176
10,200
25,211
13,159
14,179
6,112
6,123
19,153
17,225
22,213
13,188
14,101
26,187
11,178
15,166
3,91
23,189
18,154
1,48
6,151
6,104
12,185
25,202
25,223
24,227
24,180
18,214
21,196
15,180
15,202
3,107
7,102
17,179
11,169
22,153
6,154
22,204
0,14
25,203
0,16
25,209
2,92
12,185
20,217
22,184
25,239
22,185
7,174
3,69
17,141
17,207
22,216
26,225
9,190
25,210
5,105
16,192
13,183
19,203
23,184
3,121
6,112
20,179
8,155
1,51
14,182
13,179
11,178
11,184
22,199
2,95
21,199
23,217
14,144
2,107
22,166
20,196
13,197
22,146
18,164
0,16
26,213
22,149
27,199
24,181
23,144
24,210
11,176
25,164
25,205
12,159
7,174
20,192
21,199
1,48
1,59
17,185
24,210
23,169
25,152
19,155
13,179
25,197
22,198
15,185
0,18
11,119
13,167
17,198
13,211
12,192
26,183
6,162
0,14
1,37
4,60
19,116
5,111
11,120
23,197
22,126
24,203
17,139
23,204
6,116
24,212
8,144
7,135
17,179
15,177
2,74
5,96
20,205
10,97
18,184
18,177
22,216
20,191
15,195
1,37
21,119
22,161
24,188
19,194
9,153
20,178
21,114
23,196
23,182
14,164
18,207
15,152
24,208
12,186
1,47
22,161
21,183
25,166
12,176
14,193
0,16
10,90
8,141
23,110
4,113
1,48
13,147
22,200
8,166
20,149
17,155
27,227
11,191
17,176
21,167
25,180
6,114
20,121
21,199
5,159
8,189
9,182
21,175
4,109
20,152
25,214
3,112
7,85
23,195
22,197
12,188
14,182
17,201
4,102
11,161
25,214
10,172
24,193
17,195
10,202
18,197
18,202
20,215
22,109
17,185
21,213
21,222
24,183
13,218
24,163
21,193
7,144
20,116
1,59
18,193
13,144
18,155
18,116
26,207
21,172
3,106
15,183
1,55
20,142
8,91
27,139
19,211
6,163
0,16
24,224
7,150
21,162
23,148
7,174
16,173
15,192
23,200
7,144
18,168
25,232
22,194
2,80
15,140
19,184
22,179
23,182
21,204
21,212
17,155
8,126
20,197
24,214
15,146
12,200
23,213
19,215
3,86
23,185
5,127
3,114
10,195
8,155
13,160
20,113
17,167
2,77
11,187
13,151
8,174
20,198
21,167
22,178
23,118
21,169
6,167
8,148
22,201
20,179
5,102
17,161
20,174
11,173
11,174
15,190
22,118
0,16
19,163
18,189
11,180
3,107
8,170
8,187
9,144
14,184
18,198
17,207
23,212
21,203
11,171
25,197
16,152
6,110
16,155
20,203
6,112
12,142
15,157
18,177
26,224
23,183
17,207
23,205
18,223
13,177
25,141
2,37
4,83
